task_id,delta_without_task,change_from_full
gsm8k/0,0.06513420409202053,-0.0006558616980453236
gsm8k/1,0.06671338089691314,0.0009233151068472889
gsm8k/10,0.06626577376884879,0.00047570797878293547
gsm8k/100,0.06654001077792904,0.0007499449878631825
gsm8k/101,0.06351630172970124,-0.0022737640603646136
gsm8k/102,0.0701113414868062,0.004321275696740345
gsm8k/103,0.06601266744321488,0.0002226016531490238
gsm8k/104,0.06461664616646168,-0.0011734196236041772
gsm8k/105,0.06594315527318018,0.00015308948311432147
gsm8k/106,0.06563046010483398,-0.00015960568523187835
gsm8k/107,0.06185435181717713,-0.003935713972888721
gsm8k/108,0.06576136849089709,-2.8697299168767287e-05
gsm8k/109,0.06531820873764294,-0.0004718570524229193
gsm8k/11,0.06541689472723955,-0.0003731710628263052
gsm8k/110,0.06520887431096534,-0.0005811914791005179
gsm8k/111,0.06316365626710452,-0.002626409522961337
gsm8k/112,0.06598860196875089,0.00019853617868503814
gsm8k/113,0.06701331873745664,0.001223252947390785
gsm8k/114,0.05785373071618416,-0.007936335073881695
gsm8k/115,0.06647607391101817,0.0006860081209523194
gsm8k/116,0.06509784673556385,-0.0006922190545020079
gsm8k/117,0.06602888251104733,0.00023881672098147178
gsm8k/118,0.06541205591147348,-0.000378009878592378
gsm8k/119,0.06645780623475794,0.0006677404446920887
gsm8k/12,0.06809276326004954,0.0023026974699836833
gsm8k/120,0.0649433279706233,-0.0008467378194425557
gsm8k/121,0.06610366919044852,0.0003136034003826671
gsm8k/122,0.06548221037765933,-0.00030785541240652137
gsm8k/123,0.06534325889164594,-0.00044680689841991583
gsm8k/124,0.0653938555620267,-0.00039621022803915107
gsm8k/125,0.06128941364673368,-0.004500652143332173
gsm8k/126,0.06526145483961865,-0.0005286109504472059
gsm8k/127,0.06522532384601354,-0.000564741944052316
gsm8k/128,0.06563576080304712,-0.00015430498701873852
gsm8k/129,0.0654530840404447,-0.0003369817496211569
gsm8k/13,0.06561749312678677,-0.00017257266327908027
gsm8k/130,0.06579772584735366,7.660057287806055e-06
gsm8k/131,0.06557049236949986,-0.00021957342056599938
gsm8k/132,0.06741470534573979,0.0016246395556739346
gsm8k/133,0.06666788002329649,0.0008778142332306338
gsm8k/134,0.06617647058823528,0.0003864047981694263
gsm8k/135,0.06552504567392903,-0.0002650201161368271
gsm8k/136,0.06600678064697918,0.00021671485691332482
gsm8k/137,0.06431093476994754,-0.0014791310201183183
gsm8k/138,0.06526145483961865,-0.0005286109504472059
gsm8k/139,0.0658182813355227,2.821554545684446e-05
